candidate_id,canonical_question,question_variants,candidate_answer,topic,source_image_ids,answer_authority,duplicate_count,has_conflict,contains_volatile_information,pii_review_status,approval_decision,reviewer,reviewed_at,notes
FAQ-001,Làm thủ tục xin nghỉ như thế nào?,"[""Muốn xin nghỉ buổi chiều thì làm thủ tục gì?"", ""Xin nghỉ phép hôm nay thì liên hệ ai?"", ""Muốn xin nghỉ buổi chiều thì thủ tục thế nào?""]",,course_policy,"[""IMG-002"", ""IMG-003"", ""IMG-034""]",unknown,3,false,true,redacted_needs_human_review,,,,No clearly related answer in screenshots.
FAQ-002,Không nhận được lời mời GitHub Org sau onboarding thì làm gì?,"[""Đã xác thực nhưng không thấy lời mời GitHub Org."", ""Hoàn tất hồ sơ nhưng organization không xuất hiện."", ""Đã xong checklist/onboarding nhưng chưa nhận lời mời."", ""Không thấy GitHub organization dù dùng đúng tài khoản."", ""Chưa có team có ảnh hưởng lời mời Org không?""]","Cần hoàn tất hồ sơ, có team và đủ role; lời mời vào project được gửi sau. Team phải xác minh lại quy trình hiện hành.",github,"[""IMG-004"", ""IMG-005"", ""IMG-009"", ""IMG-016"", ""IMG-019"", ""IMG-023"", ""IMG-026"", ""IMG-028"", ""IMG-040"", ""IMG-050"", ""IMG-052""]",labcoach_candidate,5,false,true,redacted_needs_human_review,,,,High-frequency candidate; process may change.
FAQ-003,Làm sao đăng nhập lại khi Git báo lỗi?,"[""Bấm Git để đăng nhập lại nhưng bị báo lỗi.""]",,technical_setup,"[""IMG-006""]",unknown,1,false,false,redacted_needs_human_review,,,,Error details are cropped.
FAQ-004,Học viên khóa 3 và khóa 4 có được chung team không?,"[""Khóa 3 và khóa 4 có thể chung nhóm không?"", ""Khóa 3 có được ghép đội với khóa 4 không?"", ""Khóa 3 và khóa 4 học cùng được không?"", ""Hai khóa có thể cùng đội tối đa bốn người không?""]",,team_workflow,"[""IMG-007"", ""IMG-014"", ""IMG-018"", ""IMG-031"", ""IMG-033""]",unknown,4,false,true,redacted_needs_human_review,,,,
FAQ-005,Không xem được slide thì xử lý thế nào?,"[""Không xem được slide như ảnh thì làm gì?""]",,technical_setup,"[""IMG-008""]",unknown,1,false,false,redacted_needs_human_review,,,,
FAQ-006,Weekly report cần nộp nội dung và định dạng gì?,"[""Weekly submit gồm những gì?"", ""Weekly report có cần file Word/PDF không?"", ""Các trường trong weekly report gồm gì?""]","Dùng /weekly submit; form hỏi tiến độ, blockers, kế hoạch và link đính kèm. Không cần file Word/PDF riêng.",submission,"[""IMG-010"", ""IMG-013"", ""IMG-029""]",unknown,3,false,true,redacted_needs_human_review,,,,Automated answers agree but require official review.
FAQ-007,Làm sao tạo ticket hỗ trợ?,"[""Làm sao để send ticket?""]","Gõ /ticket create, chọn loại, điền tiêu đề và mô tả chi tiết.",technical_setup,"[""IMG-011""]",unknown,1,false,true,redacted_needs_human_review,,,,
FAQ-008,Nhà ăn hoạt động đến mấy giờ?,"[""Bình thường mấy giờ nhà ăn hết cơm?""]",,schedule,"[""IMG-012""]",unknown,1,false,true,redacted_needs_human_review,,,,Outside assistant scope; no verified answer.
FAQ-009,Cách thiết lập và kiểm tra AI log?,"[""Cách submit AI log?"", ""Dùng API key mới có AI log phải không?"", ""Dùng coding agent qua IDE có lưu AI log không?""]","Tài liệu trong ảnh hướng dẫn tạo API key, clone repo team và làm theo README; hành vi logging với từng công cụ chưa có câu trả lời.",api_key,"[""IMG-015"", ""IMG-047"", ""IMG-049""]",unknown,3,false,true,redacted_needs_human_review,,,,Contains redacted course link and unanswered tool-specific variants.
FAQ-010,Xem mã nhóm hoặc mã team ở đâu?,"[""Mã nhóm là gì?"", ""Đặt tên Zoom cần mã nhóm thì xem ở đâu?"", ""Đã biết mã team nhưng chưa biết mã nhóm.""]",Có thể xem tên group ở cột trái; nếu buổi đầu chưa có mã thì announcement cho phép dùng tên và năm chữ số cuối mã học viên.,team_workflow,"[""IMG-017"", ""IMG-041"", ""IMG-042"", ""IMG-043"", ""IMG-045""]",official,3,false,true,redacted_needs_human_review,,,,Naming convention must be checked against current announcement.
