metric_id,audience,metric_name,numerator,denominator,percentage,source_question,calculation_rule,status,notes
L_DISCORD_FREQUENCY_thuong_xuyen_hang_ngay,learner,Thường xuyên (hàng ngày),13,18,72.2,Q03 — Tần suất sử dụng Discord của bạn trong học tập,Count learner respondents with this exact response,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_DISCORD_FREQUENCY_thinh_thoang_vai_lan_moi_tuan,learner,Thỉnh thoảng (vài lần mỗi tuần),3,18,16.7,Q03 — Tần suất sử dụng Discord của bạn trong học tập,Count learner respondents with this exact response,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_DISCORD_FREQUENCY_hiem_khi,learner,Hiếm khi,2,18,11.1,Q03 — Tần suất sử dụng Discord của bạn trong học tập,Count learner respondents with this exact response,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_DIFFICULTY_bo_lo_thong_bao,learner,Bỏ lỡ thông báo,16,18,88.9,Q05 — Những khó khăn bạn thường gặp khi sử dụng Discord (Dành cho Học viên),Count unique learner respondents selecting this option after splitting multi-select cells,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_DIFFICULTY_tin_nhan_bi_troi,learner,Tin nhắn bị trôi,16,18,88.9,Q05 — Những khó khăn bạn thường gặp khi sử dụng Discord (Dành cho Học viên),Count unique learner respondents selecting this option after splitting multi-select cells,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_DIFFICULTY_kho_tim_thong_tin,learner,Khó tìm thông tin,12,18,66.7,Q05 — Những khó khăn bạn thường gặp khi sử dụng Discord (Dành cho Học viên),Count unique learner respondents selecting this option after splitting multi-select cells,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_DIFFICULTY_khong_biet_hoi_o_dau,learner,Không biết hỏi ở đâu,9,18,50,Q05 — Những khó khăn bạn thường gặp khi sử dụng Discord (Dành cho Học viên),Count unique learner respondents selecting this option after splitting multi-select cells,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_DIFFICULTY_cau_hoi_khong_duoc_tra_loi,learner,Câu hỏi không được trả lời,7,18,38.9,Q05 — Những khó khăn bạn thường gặp khi sử dụng Discord (Dành cho Học viên),Count unique learner respondents selecting this option after splitting multi-select cells,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_DIFFICULTY_co_qua_nhieu_cau_hoi_trung_lap,learner,Có quá nhiều câu hỏi trùng lặp,6,18,33.3,Q05 — Những khó khăn bạn thường gặp khi sử dụng Discord (Dành cho Học viên),Count unique learner respondents selecting this option after splitting multi-select cells,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_Q06_SCORE_1,learner,Q6 score 1,0,18,0,Q06 — Đánh giá các vấn đề sau (Dành cho Học viên) [Mất nhiều thời gian tìm thông tin],Normalize leading scale value to integer 1-5; count score 1,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_Q06_SCORE_2,learner,Q6 score 2,0,18,0,Q06 — Đánh giá các vấn đề sau (Dành cho Học viên) [Mất nhiều thời gian tìm thông tin],Normalize leading scale value to integer 1-5; count score 2,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_Q06_SCORE_3,learner,Q6 score 3,8,18,44.4,Q06 — Đánh giá các vấn đề sau (Dành cho Học viên) [Mất nhiều thời gian tìm thông tin],Normalize leading scale value to integer 1-5; count score 3,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_Q06_SCORE_4,learner,Q6 score 4,6,18,33.3,Q06 — Đánh giá các vấn đề sau (Dành cho Học viên) [Mất nhiều thời gian tìm thông tin],Normalize leading scale value to integer 1-5; count score 4,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_Q06_SCORE_5,learner,Q6 score 5,4,18,22.2,Q06 — Đánh giá các vấn đề sau (Dành cho Học viên) [Mất nhiều thời gian tìm thông tin],Normalize leading scale value to integer 1-5; count score 5,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_Q07_SCORE_1,learner,Q7 score 1,1,18,5.6,Q07 — Đánh giá các vấn đề sau (Dành cho Học viên) [Đã từng hỏi lại câu hỏi cũ],Normalize leading scale value to integer 1-5; count score 1,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_Q07_SCORE_2,learner,Q7 score 2,4,18,22.2,Q07 — Đánh giá các vấn đề sau (Dành cho Học viên) [Đã từng hỏi lại câu hỏi cũ],Normalize leading scale value to integer 1-5; count score 2,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_Q07_SCORE_3,learner,Q7 score 3,7,18,38.9,Q07 — Đánh giá các vấn đề sau (Dành cho Học viên) [Đã từng hỏi lại câu hỏi cũ],Normalize leading scale value to integer 1-5; count score 3,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_Q07_SCORE_4,learner,Q7 score 4,6,18,33.3,Q07 — Đánh giá các vấn đề sau (Dành cho Học viên) [Đã từng hỏi lại câu hỏi cũ],Normalize leading scale value to integer 1-5; count score 4,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_Q07_SCORE_5,learner,Q7 score 5,0,18,0,Q07 — Đánh giá các vấn đề sau (Dành cho Học viên) [Đã từng hỏi lại câu hỏi cũ],Normalize leading scale value to integer 1-5; count score 5,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_Q08_SCORE_1,learner,Q8 score 1,1,18,5.6,Q08 — Đánh giá các vấn đề sau (Dành cho Học viên) [Bỏ lỡ thông báo quan trọng],Normalize leading scale value to integer 1-5; count score 1,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_Q08_SCORE_2,learner,Q8 score 2,1,18,5.6,Q08 — Đánh giá các vấn đề sau (Dành cho Học viên) [Bỏ lỡ thông báo quan trọng],Normalize leading scale value to integer 1-5; count score 2,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_Q08_SCORE_3,learner,Q8 score 3,4,18,22.2,Q08 — Đánh giá các vấn đề sau (Dành cho Học viên) [Bỏ lỡ thông báo quan trọng],Normalize leading scale value to integer 1-5; count score 3,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_Q08_SCORE_4,learner,Q8 score 4,9,18,50,Q08 — Đánh giá các vấn đề sau (Dành cho Học viên) [Bỏ lỡ thông báo quan trọng],Normalize leading scale value to integer 1-5; count score 4,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_Q08_SCORE_5,learner,Q8 score 5,3,18,16.7,Q08 — Đánh giá các vấn đề sau (Dành cho Học viên) [Bỏ lỡ thông báo quan trọng],Normalize leading scale value to integer 1-5; count score 5,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_Q09_SCORE_1,learner,Q9 score 1,0,18,0,Q09 — Đánh giá các vấn đề sau (Dành cho Học viên) [Khó theo dõi cuộc trò chuyện dài],Normalize leading scale value to integer 1-5; count score 1,OBSERVED_ELIGIBILITY_UNVERIFIED,
