message_id,image_id,thread_id,message_order,speaker_role,text_redacted,message_type,reply_to_message_id,topic,contains_course_fact,authority_level,ocr_confidence,review_status,notes
MSG-001-01,IMG-001,THREAD-001,1,unknown,Hướng dẫn kết nối các Wi-Fi của trường: [QR_CODE_REDACTED],announcement,,technical_setup,true,unknown,0.94,needs_review,QR payload intentionally not decoded.
MSG-002-01,IMG-002,THREAD-002,1,learner,Em muốn xin nghỉ buổi chiều nay thì thủ tục như thế nào?,question,,course_policy,false,unknown,0.98,needs_review,
MSG-003-01,IMG-003,THREAD-003,1,labcoach,Đúng rồi em.,answer,,other,true,labcoach_candidate,0.96,needs_review,Reply target is not clear; do not pair automatically.
MSG-003-02,IMG-003,THREAD-003,2,learner,Em muốn xin nghỉ buổi chiều nay thì thủ tục như thế nào?,question,,course_policy,false,unknown,0.98,needs_review,Visible below an unrelated/unclear reply.
MSG-004-01,IMG-004,THREAD-004,1,learner,Đến bước xác thực lời mời GitHub Org nhưng kiểm tra điện thoại và máy tính đều không thấy lời mời; cần làm gì?,question,,github,false,unknown,0.98,needs_review,
MSG-005-01,IMG-005,THREAD-005,1,learner,Đã qua bước vào GitHub Org và hoàn tất hồ sơ nhưng không thấy organization trong GitHub Settings; đây là bình thường hay lỗi?,question,,github,false,unknown,0.98,needs_review,
MSG-006-01,IMG-006,THREAD-006,1,learner,Làm sao đăng nhập lại khi bấm Git mà hệ thống báo lỗi?,question,,technical_setup,false,unknown,0.91,needs_review,Embedded error screenshot is partially cropped.
MSG-007-01,IMG-007,THREAD-007,1,learner,Thành viên khóa 3 và khóa 4 có thể chung nhóm không?,question,,team_workflow,false,unknown,0.98,needs_review,
MSG-008-01,IMG-008,THREAD-008,1,learner,Có ai không xem được slide như thế này không?,question,,technical_setup,false,unknown,0.93,needs_review,
MSG-009-01,IMG-009,THREAD-009,1,official_announcement,"Người chưa được mời vào GitHub Org sẽ được chuyển qua bước hoàn tất hồ sơ; sau khi tham gia team và lập đội, hệ thống sẽ gửi lời mời vào project qua email.",announcement,,github,true,official,0.98,needs_review,
MSG-010-01,IMG-010,THREAD-010,1,learner,Weekly submit gồm những gì?,question,,submission,false,unknown,0.98,needs_review,
MSG-010-02,IMG-010,THREAD-010,2,unknown,"Lệnh /weekly submit mở form gồm: tiến độ, khó khăn, kế hoạch và link đính kèm. Mỗi thành viên được cộng XP khi nộp thành công; cần nộp trước buổi Coaching.",answer,MSG-010-01,submission,true,unknown,0.98,needs_review,Automated assistant response; authority requires review.
MSG-011-01,IMG-011,THREAD-011,1,learner,Làm sao để gửi ticket?,question,,technical_setup,false,unknown,0.98,needs_review,
