candidate_id,canonical_question,candidate_answer,topic,duplicate_count,answer_authority,source_image_ids,risk_reason,approval_decision,corrected_answer,official_source,reviewer,reviewed_at,valid_until,review_notes
FAQ-002,Không nhận được lời mời GitHub Org sau onboarding thì làm gì?,"Cần hoàn tất hồ sơ, có team và đủ role; lời mời vào project được gửi sau. Team phải xác minh lại quy trình hiện hành.",github,5,labcoach_candidate,"[""IMG-004"", ""IMG-005"", ""IMG-009"", ""IMG-016"", ""IMG-019"", ""IMG-023"", ""IMG-026"", ""IMG-028"", ""IMG-040"", ""IMG-050"", ""IMG-052""]",frequent_question;has_higher_authority_candidate;volatile_logistics_or_policy,approved,"Cần hoàn tất hồ sơ, có team và đủ role; lời mời vào project được gửi sau. Team phải xác minh lại quy trình hiện hành.",Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-012,Làm sao nhận role để thấy các kênh?,Cần hoàn thành bước xác nhận/verify theo hướng dẫn BTC để nhận role và thấy các kênh.,course_policy,4,labcoach_candidate,"[""IMG-021"", ""IMG-038"", ""IMG-054"", ""IMG-057"", ""IMG-058""]",frequent_question;has_higher_authority_candidate;volatile_logistics_or_policy,approved,Cần hoàn thành bước xác nhận/verify theo hướng dẫn BTC để nhận role và thấy các kênh.,Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-004,Học viên khóa 3 và khóa 4 có được chung team không?,,team_workflow,4,unknown,"[""IMG-007"", ""IMG-014"", ""IMG-018"", ""IMG-031"", ""IMG-033""]",frequent_question;volatile_logistics_or_policy;unanswered;authority_unverified,approved,Học viên khóa 3 và khóa 4 được phép chung team.,Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-010,Xem mã nhóm hoặc mã team ở đâu?,Có thể xem tên group ở cột trái; nếu buổi đầu chưa có mã thì announcement cho phép dùng tên và năm chữ số cuối mã học viên.,team_workflow,3,official,"[""IMG-017"", ""IMG-041"", ""IMG-042"", ""IMG-043"", ""IMG-045""]",frequent_question;has_higher_authority_candidate;volatile_logistics_or_policy,approved,Có thể xem tên group ở cột trái; nếu buổi đầu chưa có mã thì announcement cho phép dùng tên và năm chữ số cuối mã học viên.,Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-001,Làm thủ tục xin nghỉ như thế nào?,,course_policy,3,unknown,"[""IMG-002"", ""IMG-003"", ""IMG-034""]",frequent_question;volatile_logistics_or_policy;unanswered;authority_unverified,approved,"Nếu cần xin nghỉ, gửi email đến địa chỉ hỗ trợ chính thức của chương trình.",Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-014,Các buổi tối có học online và được báo trước không?,,schedule,3,unknown,"[""IMG-024"", ""IMG-053"", ""IMG-059""]",frequent_question;volatile_logistics_or_policy;unanswered;authority_unverified,approved,"Các buổi tối bắt đầu lúc 20:00. Theo kế hoạch có hai workshop, hai office hour và hai mentor duty; lịch cụ thể từng tuần được thông báo trên kênh announcement.",Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-006,Weekly report cần nộp nội dung và định dạng gì?,"Dùng /weekly submit; form hỏi tiến độ, blockers, kế hoạch và link đính kèm. Không cần file Word/PDF riêng.",submission,3,unknown,"[""IMG-010"", ""IMG-013"", ""IMG-029""]",frequent_question;volatile_logistics_or_policy;authority_unverified,approved,"Dùng /weekly submit; form yêu cầu tiến độ, blockers, kế hoạch và link đính kèm; không cần Word/PDF riêng.",Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-009,Cách thiết lập và kiểm tra AI log?,"Tài liệu trong ảnh hướng dẫn tạo API key, clone repo team và làm theo README; hành vi logging với từng công cụ chưa có câu trả lời.",api_key,3,unknown,"[""IMG-015"", ""IMG-047"", ""IMG-049""]",frequent_question;volatile_logistics_or_policy;authority_unverified,needs_clarification,Chưa có quy trình kiểm tra AI log rõ ràng; handoff TA.,Labcoach Discord,Team D305,2026-07-30,,Do not promote; runtime must handoff.
FAQ-019,Làm sao tăng XP?,"XP được nhắc đến cho daily, weekly, gate, workshop, hỗ trợ cộng đồng và showcase; các mức cụ thể chưa được xác minh.",course_policy,2,unknown,"[""IMG-035"", ""IMG-063""]",frequent_question;volatile_logistics_or_policy;conflict;authority_unverified,approved,"Các cách nhận XP:
- /daily: +5 XP.
- /weekly submit: một người đại diện nộp, mỗi thành viên team nhận +10 XP.
- /gate submit: team nhận tới +100 XP.
- Tham gia workshop: +10 XP.
- Hỗ trợ cộng đồng: +5 đến +20 XP tùy đóng góp.
- Showcase và feedback có thể nhận thêm XP thưởng.",Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-027,Thư viện mở cửa khi nào?,"Labcoach cho biết kỳ hè thường không mở cuối tuần; ngày thường 08:45–17:15, phòng 24/7 mở tối và cuối tuần.",schedule,1,labcoach_candidate,"[""IMG-055""]",has_higher_authority_candidate;volatile_logistics_or_policy,approved,"Labcoach cho biết kỳ hè thường không mở cuối tuần; ngày thường 08:45–17:15, phòng 24/7 mở tối và cuối tuần.",Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
